"Source:","C:\Users\56932\Documents\KiCad\PCB_Hbridge_v2\PCB_Hbridge\PCB_Hbridge.kicad_sch"
"Date:","01-02-2023 16:41:28"
"Tool:","Eeschema (6.0.10)"
"Generator:","C:\Program Files\KiCad\6.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","104"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","AVAILABILITY","DESCRIPTION","Description","Height","MANUFACTURER","MAXIMUM_PACKAGE_HEIGHT","MF","MP","Manufacturer_Name","Manufacturer_Part_Number","Mouser Part Number","Mouser Path Number","Mouser Price/Stock","PACKAGE","PARTREV","PRICE","STANDARD"
"","","PS1","PDSE2-S24-S5-M","PCB_Hbridge:PDSE2-S24-S5-M","PCB_Hbridge:CONV_PDSE2-S24-S5-M","","","","","","CUI Devices","7.5mm","","","","","","","","","1.0","","Manufacturer Recommendations"
"","","PS2","PDSE2-S24-S5-M","PCB_Hbridge:PDSE2-S24-S5-M","PCB_Hbridge:CONV_PDSE2-S24-S5-M","","","","","","CUI Devices","7.5mm","","","","","","","","","1.0","","Manufacturer Recommendations"
"","","R1","56k","PCB_Hbridge:56k","PCB_Hbridge:RESC2012X60N_56k","https://www.bourns.com/pdfs/chpreztr.pdf","","","Thick Film Resistors - SMD 56K 1%","0.6","","","","","Bourns","CR0805-FX-5602ELF","652-CR0805FX-5602ELF","","https://www.mouser.co.uk/ProductDetail/Bourns/CR0805-FX-5602ELF?qs=LA9FZBosJlDmfWlvGHkolA%3D%3D","","","",""
"","","R2","499k","PCB_Hbridge:499k","PCB_Hbridge:RESC2012X60N_499k","https://www.bourns.com/pdfs/chpreztr.pdf","","","Thick Film Resistors - SMD 56K 1%","0.6","","","","","Bourns","CR0805-FX-5602ELF","652-CR0805FX-5602ELF","","https://www.mouser.co.uk/ProductDetail/Bourns/CR0805-FX-5602ELF?qs=LA9FZBosJlDmfWlvGHkolA%3D%3D","","","",""
"","","R3","120k","PCB_Hbridge:120k","PCB_Hbridge:RESC2012X50N_120k","https://www.bourns.com/pdfs/chpreztr.pdf","","","Thick Film Resistors - SMD 56K 1%","0.6","","","","","Bourns","CR0805-FX-5602ELF","652-CR0805FX-5602ELF","","https://www.mouser.co.uk/ProductDetail/Bourns/CR0805-FX-5602ELF?qs=LA9FZBosJlDmfWlvGHkolA%3D%3D","","","",""
"","","R4","56k","PCB_Hbridge:56k","PCB_Hbridge:RESC2012X60N_56k","https://www.bourns.com/pdfs/chpreztr.pdf","","","Thick Film Resistors - SMD 56K 1%","0.6","","","","","Bourns","CR0805-FX-5602ELF","652-CR0805FX-5602ELF","","https://www.mouser.co.uk/ProductDetail/Bourns/CR0805-FX-5602ELF?qs=LA9FZBosJlDmfWlvGHkolA%3D%3D","","","",""
"","","R5","270k","PCB_Hbridge:270k","PCB_Hbridge:RESC2012X50N_270k","https://www.bourns.com/pdfs/chpreztr.pdf","","","Thick Film Resistors - SMD 56K 1%","0.6","","","","","Bourns","CR0805-FX-5602ELF","652-CR0805FX-5602ELF","","https://www.mouser.co.uk/ProductDetail/Bourns/CR0805-FX-5602ELF?qs=LA9FZBosJlDmfWlvGHkolA%3D%3D","","","",""
"","","R6","120k","PCB_Hbridge:120k","PCB_Hbridge:RESC2012X50N_120k","https://www.bourns.com/pdfs/chpreztr.pdf","","","Thick Film Resistors - SMD 56K 1%","0.6","","","","","Bourns","CR0805-FX-5602ELF","652-CR0805FX-5602ELF","","https://www.mouser.co.uk/ProductDetail/Bourns/CR0805-FX-5602ELF?qs=LA9FZBosJlDmfWlvGHkolA%3D%3D","","","",""
"","","R7","10k",":10k_1","PCB_Hbridge:RESC2012X60N_10k","https://www.bourns.com/pdfs/chpreztr.pdf/","","","Bourns CR0805-FX Series Chip Resistors","0.6","","","","","Bourns","CR0805-FX-1002ELF","652-CR0805FX-1002ELF","","https://www.mouser.co.uk/ProductDetail/Bourns/CR0805-FX-1002ELF?qs=tknLyCMIRbPr%252BDD0s0nG9g%3D%3D","","","",""
"","","R8","10k","PCB_Hbridge:10k","PCB_Hbridge:RESC2012X60N_10k","https://www.bourns.com/pdfs/chpreztr.pdf/","","","Bourns CR0805-FX Series Chip Resistors","0.6","","","","","Bourns","CR0805-FX-1002ELF","652-CR0805FX-1002ELF","","https://www.mouser.co.uk/ProductDetail/Bourns/CR0805-FX-1002ELF?qs=tknLyCMIRbPr%252BDD0s0nG9g%3D%3D","","","",""
"","","R9","10k","Device:R_Small","PCB_Hbridge:RESC2012X60N_10k","~","","","","","","","","","","","","","","","","",""
"","","R10","10k",":10k_1","PCB_Hbridge:RESC2012X60N_10k","https://www.bourns.com/pdfs/chpreztr.pdf/","","","Bourns CR0805-FX Series Chip Resistors","0.6","","","","","Bourns","CR0805-FX-1002ELF","652-CR0805FX-1002ELF","","https://www.mouser.co.uk/ProductDetail/Bourns/CR0805-FX-1002ELF?qs=tknLyCMIRbPr%252BDD0s0nG9g%3D%3D","","","",""
"","","R11","10k","PCB_Hbridge:10k","PCB_Hbridge:RESC2012X60N_10k","https://www.bourns.com/pdfs/chpreztr.pdf/","","","Bourns CR0805-FX Series Chip Resistors","0.6","","","","","Bourns","CR0805-FX-1002ELF","652-CR0805FX-1002ELF","","https://www.mouser.co.uk/ProductDetail/Bourns/CR0805-FX-1002ELF?qs=tknLyCMIRbPr%252BDD0s0nG9g%3D%3D","","","",""
"","","R12","2M",":2M_1","PCB_Hbridge:RESC6332X70N_2M","https://www.vishay.com/docs/20082/rcvat-e3.pdf","","","2 MOhms +/-1% 1W Chip Resistor 2512 (6432 Metric) Automotive AEC-Q200, High Voltage Thick Film","0.7","","","","","Vishay","RCV25122M00FKEGAT","71-RCV25122M00FKEGAT","","https://www.mouser.co.uk/ProductDetail/Vishay-Draloric/RCV25122M00FKEGAT?qs=DRkmTr78QAQ88fBO7RoMBw%3D%3D","","","",""
"","","R13","2M",":2M_1","PCB_Hbridge:RESC6332X70N_2M","https://www.vishay.com/docs/20082/rcvat-e3.pdf","","","2 MOhms +/-1% 1W Chip Resistor 2512 (6432 Metric) Automotive AEC-Q200, High Voltage Thick Film","0.7","","","","","Vishay","RCV25122M00FKEGAT","71-RCV25122M00FKEGAT","","https://www.mouser.co.uk/ProductDetail/Vishay-Draloric/RCV25122M00FKEGAT?qs=DRkmTr78QAQ88fBO7RoMBw%3D%3D","","","",""
"","","R14","2M","PCB_Hbridge:2M","PCB_Hbridge:RESC6332X70N_2M","https://www.vishay.com/docs/20082/rcvat-e3.pdf","","","2 MOhms +/-1% 1W Chip Resistor 2512 (6432 Metric) Automotive AEC-Q200, High Voltage Thick Film","0.7","","","","","Vishay","RCV25122M00FKEGAT","71-RCV25122M00FKEGAT","","https://www.mouser.co.uk/ProductDetail/Vishay-Draloric/RCV25122M00FKEGAT?qs=DRkmTr78QAQ88fBO7RoMBw%3D%3D","","","",""
"","","R15","2M","PCB_Hbridge:2M","PCB_Hbridge:RESC6332X70N_2M","https://www.vishay.com/docs/20082/rcvat-e3.pdf","","","2 MOhms +/-1% 1W Chip Resistor 2512 (6432 Metric) Automotive AEC-Q200, High Voltage Thick Film","0.7","","","","","Vishay","RCV25122M00FKEGAT","71-RCV25122M00FKEGAT","","https://www.mouser.co.uk/ProductDetail/Vishay-Draloric/RCV25122M00FKEGAT?qs=DRkmTr78QAQ88fBO7RoMBw%3D%3D","","","",""
"","","R16","2M",":2M_1","PCB_Hbridge:RESC6332X70N_2M","https://www.vishay.com/docs/20082/rcvat-e3.pdf","","","2 MOhms +/-1% 1W Chip Resistor 2512 (6432 Metric) Automotive AEC-Q200, High Voltage Thick Film","0.7","","","","","Vishay","RCV25122M00FKEGAT","71-RCV25122M00FKEGAT","","https://www.mouser.co.uk/ProductDetail/Vishay-Draloric/RCV25122M00FKEGAT?qs=DRkmTr78QAQ88fBO7RoMBw%3D%3D","","","",""
"","","R17","2M",":2M_1","PCB_Hbridge:RESC6332X70N_2M","https://www.vishay.com/docs/20082/rcvat-e3.pdf","","","2 MOhms +/-1% 1W Chip Resistor 2512 (6432 Metric) Automotive AEC-Q200, High Voltage Thick Film","0.7","","","","","Vishay","RCV25122M00FKEGAT","71-RCV25122M00FKEGAT","","https://www.mouser.co.uk/ProductDetail/Vishay-Draloric/RCV25122M00FKEGAT?qs=DRkmTr78QAQ88fBO7RoMBw%3D%3D","","","",""
"","","R18","2M","PCB_Hbridge:2M","PCB_Hbridge:RESC6332X70N_2M","https://www.vishay.com/docs/20082/rcvat-e3.pdf","","","2 MOhms +/-1% 1W Chip Resistor 2512 (6432 Metric) Automotive AEC-Q200, High Voltage Thick Film","0.7","","","","","Vishay","RCV25122M00FKEGAT","71-RCV25122M00FKEGAT","","https://www.mouser.co.uk/ProductDetail/Vishay-Draloric/RCV25122M00FKEGAT?qs=DRkmTr78QAQ88fBO7RoMBw%3D%3D","","","",""
"","","R19","2M","PCB_Hbridge:2M","PCB_Hbridge:RESC6332X70N_2M","https://www.vishay.com/docs/20082/rcvat-e3.pdf","","","2 MOhms +/-1% 1W Chip Resistor 2512 (6432 Metric) Automotive AEC-Q200, High Voltage Thick Film","0.7","","","","","Vishay","RCV25122M00FKEGAT","71-RCV25122M00FKEGAT","","https://www.mouser.co.uk/ProductDetail/Vishay-Draloric/RCV25122M00FKEGAT?qs=DRkmTr78QAQ88fBO7RoMBw%3D%3D","","","",""
"","","R20","2k","PCB_Hbridge:2k","PCB_Hbridge:RESC3216X65N_2k","","","","2 kOhms +/-5% 0.25W, 1/4W Chip Resistor 1206 (3216 Metric) Anti-Sulfur, Automotive AEC-Q200 Thick Film","0.65","","","","","ROHM Semiconductor","SFR18EZPJ202","","","","","","",""
"","","R21","2M",":2M_1","PCB_Hbridge:RESC6332X70N_2M","https://www.vishay.com/docs/20082/rcvat-e3.pdf","","","2 MOhms +/-1% 1W Chip Resistor 2512 (6432 Metric) Automotive AEC-Q200, High Voltage Thick Film","0.7","","","","","Vishay","RCV25122M00FKEGAT","71-RCV25122M00FKEGAT","","https://www.mouser.co.uk/ProductDetail/Vishay-Draloric/RCV25122M00FKEGAT?qs=DRkmTr78QAQ88fBO7RoMBw%3D%3D","","","",""
"","","R22","2M",":2M_1","PCB_Hbridge:RESC6332X70N_2M","https://www.vishay.com/docs/20082/rcvat-e3.pdf","","","2 MOhms +/-1% 1W Chip Resistor 2512 (6432 Metric) Automotive AEC-Q200, High Voltage Thick Film","0.7","","","","","Vishay","RCV25122M00FKEGAT","71-RCV25122M00FKEGAT","","https://www.mouser.co.uk/ProductDetail/Vishay-Draloric/RCV25122M00FKEGAT?qs=DRkmTr78QAQ88fBO7RoMBw%3D%3D","","","",""
"","","R23","2M","PCB_Hbridge:2M","PCB_Hbridge:RESC6332X70N_2M","https://www.vishay.com/docs/20082/rcvat-e3.pdf","","","2 MOhms +/-1% 1W Chip Resistor 2512 (6432 Metric) Automotive AEC-Q200, High Voltage Thick Film","0.7","","","","","Vishay","RCV25122M00FKEGAT","71-RCV25122M00FKEGAT","","https://www.mouser.co.uk/ProductDetail/Vishay-Draloric/RCV25122M00FKEGAT?qs=DRkmTr78QAQ88fBO7RoMBw%3D%3D","","","",""
"","","R24","2M","PCB_Hbridge:2M","PCB_Hbridge:RESC6332X70N_2M","https://www.vishay.com/docs/20082/rcvat-e3.pdf","","","2 MOhms +/-1% 1W Chip Resistor 2512 (6432 Metric) Automotive AEC-Q200, High Voltage Thick Film","0.7","","","","","Vishay","RCV25122M00FKEGAT","71-RCV25122M00FKEGAT","","https://www.mouser.co.uk/ProductDetail/Vishay-Draloric/RCV25122M00FKEGAT?qs=DRkmTr78QAQ88fBO7RoMBw%3D%3D","","","",""
"","","R25","2M",":2M_1","PCB_Hbridge:RESC6332X70N_2M","https://www.vishay.com/docs/20082/rcvat-e3.pdf","","","2 MOhms +/-1% 1W Chip Resistor 2512 (6432 Metric) Automotive AEC-Q200, High Voltage Thick Film","0.7","","","","","Vishay","RCV25122M00FKEGAT","71-RCV25122M00FKEGAT","","https://www.mouser.co.uk/ProductDetail/Vishay-Draloric/RCV25122M00FKEGAT?qs=DRkmTr78QAQ88fBO7RoMBw%3D%3D","","","",""
"","","R26","2M",":2M_1","PCB_Hbridge:RESC6332X70N_2M","https://www.vishay.com/docs/20082/rcvat-e3.pdf","","","2 MOhms +/-1% 1W Chip Resistor 2512 (6432 Metric) Automotive AEC-Q200, High Voltage Thick Film","0.7","","","","","Vishay","RCV25122M00FKEGAT","71-RCV25122M00FKEGAT","","https://www.mouser.co.uk/ProductDetail/Vishay-Draloric/RCV25122M00FKEGAT?qs=DRkmTr78QAQ88fBO7RoMBw%3D%3D","","","",""
"","","R27","2M","PCB_Hbridge:2M","PCB_Hbridge:RESC6332X70N_2M","https://www.vishay.com/docs/20082/rcvat-e3.pdf","","","2 MOhms +/-1% 1W Chip Resistor 2512 (6432 Metric) Automotive AEC-Q200, High Voltage Thick Film","0.7","","","","","Vishay","RCV25122M00FKEGAT","71-RCV25122M00FKEGAT","","https://www.mouser.co.uk/ProductDetail/Vishay-Draloric/RCV25122M00FKEGAT?qs=DRkmTr78QAQ88fBO7RoMBw%3D%3D","","","",""
"","","R28","2M","PCB_Hbridge:2M","PCB_Hbridge:RESC6332X70N_2M","https://www.vishay.com/docs/20082/rcvat-e3.pdf","","","2 MOhms +/-1% 1W Chip Resistor 2512 (6432 Metric) Automotive AEC-Q200, High Voltage Thick Film","0.7","","","","","Vishay","RCV25122M00FKEGAT","71-RCV25122M00FKEGAT","","https://www.mouser.co.uk/ProductDetail/Vishay-Draloric/RCV25122M00FKEGAT?qs=DRkmTr78QAQ88fBO7RoMBw%3D%3D","","","",""
"","","R29","2k","PCB_Hbridge:2k","PCB_Hbridge:RESC3216X65N_2k","","","","2 kOhms +/-5% 0.25W, 1/4W Chip Resistor 1206 (3216 Metric) Anti-Sulfur, Automotive AEC-Q200 Thick Film","0.65","","","","","ROHM Semiconductor","SFR18EZPJ202","","","","","","",""
"","","R30","499k","PCB_Hbridge:499k","PCB_Hbridge:RESC2012X60N_499k","https://www.bourns.com/pdfs/chpreztr.pdf","","","Thick Film Resistors - SMD 56K 1%","0.6","","","","","Bourns","CR0805-FX-5602ELF","652-CR0805FX-5602ELF","","https://www.mouser.co.uk/ProductDetail/Bourns/CR0805-FX-5602ELF?qs=LA9FZBosJlDmfWlvGHkolA%3D%3D","","","",""
"","","R31","499k","PCB_Hbridge:499k","PCB_Hbridge:RESC2012X60N_499k","https://www.bourns.com/pdfs/chpreztr.pdf","","","Thick Film Resistors - SMD 56K 1%","0.6","","","","","Bourns","CR0805-FX-5602ELF","652-CR0805FX-5602ELF","","https://www.mouser.co.uk/ProductDetail/Bourns/CR0805-FX-5602ELF?qs=LA9FZBosJlDmfWlvGHkolA%3D%3D","","","",""
"","","R32","499k","PCB_Hbridge:499k","PCB_Hbridge:RESC2012X60N_499k","https://www.bourns.com/pdfs/chpreztr.pdf","","","Thick Film Resistors - SMD 56K 1%","0.6","","","","","Bourns","CR0805-FX-5602ELF","652-CR0805FX-5602ELF","","https://www.mouser.co.uk/ProductDetail/Bourns/CR0805-FX-5602ELF?qs=LA9FZBosJlDmfWlvGHkolA%3D%3D","","","",""
"","","R33","120k","PCB_Hbridge:120k","PCB_Hbridge:RESC2012X50N_120k","https://www.bourns.com/pdfs/chpreztr.pdf","","","Thick Film Resistors - SMD 56K 1%","0.6","","","","","Bourns","CR0805-FX-5602ELF","652-CR0805FX-5602ELF","","https://www.mouser.co.uk/ProductDetail/Bourns/CR0805-FX-5602ELF?qs=LA9FZBosJlDmfWlvGHkolA%3D%3D","","","",""
"","","R34","120k","PCB_Hbridge:120k","PCB_Hbridge:RESC2012X50N_120k","https://www.bourns.com/pdfs/chpreztr.pdf","","","Thick Film Resistors - SMD 56K 1%","0.6","","","","","Bourns","CR0805-FX-5602ELF","652-CR0805FX-5602ELF","","https://www.mouser.co.uk/ProductDetail/Bourns/CR0805-FX-5602ELF?qs=LA9FZBosJlDmfWlvGHkolA%3D%3D","","","",""
"","","R35","120k","PCB_Hbridge:120k","PCB_Hbridge:RESC2012X50N_120k","https://www.bourns.com/pdfs/chpreztr.pdf","","","Thick Film Resistors - SMD 56K 1%","0.6","","","","","Bourns","CR0805-FX-5602ELF","652-CR0805FX-5602ELF","","https://www.mouser.co.uk/ProductDetail/Bourns/CR0805-FX-5602ELF?qs=LA9FZBosJlDmfWlvGHkolA%3D%3D","","","",""
"","","R36","120k","PCB_Hbridge:120k","PCB_Hbridge:RESC2012X50N_120k","https://www.bourns.com/pdfs/chpreztr.pdf","","","Thick Film Resistors - SMD 56K 1%","0.6","","","","","Bourns","CR0805-FX-5602ELF","652-CR0805FX-5602ELF","","https://www.mouser.co.uk/ProductDetail/Bourns/CR0805-FX-5602ELF?qs=LA9FZBosJlDmfWlvGHkolA%3D%3D","","","",""
"","","R37","330k","PCB_Hbridge:330k","PCB_Hbridge:ERJUP3_330k","https://industrial.panasonic.com/cdbs/www-data/pdf/RDP0000/AOA0000C337.pdf","","","Anti-Sulfurated Thick Film Chip Resistors/ Anti-Surge Type, Power Rating (W): 0.25, Chip Size (LxW(EIA)) (mm): 1.6 x 0.8 (EIA:0603), Resistance Values (?): 330000, Resistance Tolerance (%): 1, T.C.R (?102/K): ?100","0.55","","","","","Panasonic","ERJ-UP3F3303V","667-ERJ-UP3F3303V","","https://www.mouser.co.uk/ProductDetail/Panasonic/ERJ-UP3F3303V?qs=GedFDFLaBXFkDfxcnOlPhw%3D%3D","","","",""
"","","R38","330k","PCB_Hbridge:330k","PCB_Hbridge:ERJUP3_330k","https://industrial.panasonic.com/cdbs/www-data/pdf/RDP0000/AOA0000C337.pdf","","","Anti-Sulfurated Thick Film Chip Resistors/ Anti-Surge Type, Power Rating (W): 0.25, Chip Size (LxW(EIA)) (mm): 1.6 x 0.8 (EIA:0603), Resistance Values (?): 330000, Resistance Tolerance (%): 1, T.C.R (?102/K): ?100","0.55","","","","","Panasonic","ERJ-UP3F3303V","667-ERJ-UP3F3303V","","https://www.mouser.co.uk/ProductDetail/Panasonic/ERJ-UP3F3303V?qs=GedFDFLaBXFkDfxcnOlPhw%3D%3D","","","",""
"","","R39","499k",":499k_1","PCB_Hbridge:RESC2012X60N_499k","https://www.bourns.com/pdfs/chpreztr.pdf","","","Thick Film Resistors - SMD 56K 1%","0.6","","","","","Bourns","CR0805-FX-5602ELF","652-CR0805FX-5602ELF","","https://www.mouser.co.uk/ProductDetail/Bourns/CR0805-FX-5602ELF?qs=LA9FZBosJlDmfWlvGHkolA%3D%3D","","","",""
"","","R40","499k",":499k_1","PCB_Hbridge:RESC2012X60N_499k","https://www.bourns.com/pdfs/chpreztr.pdf","","","Thick Film Resistors - SMD 56K 1%","0.6","","","","","Bourns","CR0805-FX-5602ELF","652-CR0805FX-5602ELF","","https://www.mouser.co.uk/ProductDetail/Bourns/CR0805-FX-5602ELF?qs=LA9FZBosJlDmfWlvGHkolA%3D%3D","","","",""
"","","R41","499k",":499k_1","PCB_Hbridge:RESC2012X60N_499k","https://www.bourns.com/pdfs/chpreztr.pdf","","","Thick Film Resistors - SMD 56K 1%","0.6","","","","","Bourns","CR0805-FX-5602ELF","652-CR0805FX-5602ELF","","https://www.mouser.co.uk/ProductDetail/Bourns/CR0805-FX-5602ELF?qs=LA9FZBosJlDmfWlvGHkolA%3D%3D","","","",""
"","","R42","499k",":499k_1","PCB_Hbridge:RESC2012X60N_499k","https://www.bourns.com/pdfs/chpreztr.pdf","","","Thick Film Resistors - SMD 56K 1%","0.6","","","","","Bourns","CR0805-FX-5602ELF","652-CR0805FX-5602ELF","","https://www.mouser.co.uk/ProductDetail/Bourns/CR0805-FX-5602ELF?qs=LA9FZBosJlDmfWlvGHkolA%3D%3D","","","",""
"","","R43","499k",":499k_1","PCB_Hbridge:RESC2012X60N_499k","https://www.bourns.com/pdfs/chpreztr.pdf","","","Thick Film Resistors - SMD 56K 1%","0.6","","","","","Bourns","CR0805-FX-5602ELF","652-CR0805FX-5602ELF","","https://www.mouser.co.uk/ProductDetail/Bourns/CR0805-FX-5602ELF?qs=LA9FZBosJlDmfWlvGHkolA%3D%3D","","","",""
"","","R44","120k","PCB_Hbridge:120k","PCB_Hbridge:RESC2012X50N_120k","https://www.bourns.com/pdfs/chpreztr.pdf","","","Thick Film Resistors - SMD 56K 1%","0.6","","","","","Bourns","CR0805-FX-5602ELF","652-CR0805FX-5602ELF","","https://www.mouser.co.uk/ProductDetail/Bourns/CR0805-FX-5602ELF?qs=LA9FZBosJlDmfWlvGHkolA%3D%3D","","","",""
"","","R45","120k","PCB_Hbridge:120k","PCB_Hbridge:RESC2012X50N_120k","https://www.bourns.com/pdfs/chpreztr.pdf","","","Thick Film Resistors - SMD 56K 1%","0.6","","","","","Bourns","CR0805-FX-5602ELF","652-CR0805FX-5602ELF","","https://www.mouser.co.uk/ProductDetail/Bourns/CR0805-FX-5602ELF?qs=LA9FZBosJlDmfWlvGHkolA%3D%3D","","","",""
"","","R46","120k","PCB_Hbridge:120k","PCB_Hbridge:RESC2012X50N_120k","https://www.bourns.com/pdfs/chpreztr.pdf","","","Thick Film Resistors - SMD 56K 1%","0.6","","","","","Bourns","CR0805-FX-5602ELF","652-CR0805FX-5602ELF","","https://www.mouser.co.uk/ProductDetail/Bourns/CR0805-FX-5602ELF?qs=LA9FZBosJlDmfWlvGHkolA%3D%3D","","","",""
"","","R47","120k","PCB_Hbridge:120k","PCB_Hbridge:RESC2012X50N_120k","https://www.bourns.com/pdfs/chpreztr.pdf","","","Thick Film Resistors - SMD 56K 1%","0.6","","","","","Bourns","CR0805-FX-5602ELF","652-CR0805FX-5602ELF","","https://www.mouser.co.uk/ProductDetail/Bourns/CR0805-FX-5602ELF?qs=LA9FZBosJlDmfWlvGHkolA%3D%3D","","","",""
"","","R48","499k","PCB_Hbridge:499k","PCB_Hbridge:RESC2012X60N_499k","https://www.bourns.com/pdfs/chpreztr.pdf","","","Thick Film Resistors - SMD 56K 1%","0.6","","","","","Bourns","CR0805-FX-5602ELF","652-CR0805FX-5602ELF","","https://www.mouser.co.uk/ProductDetail/Bourns/CR0805-FX-5602ELF?qs=LA9FZBosJlDmfWlvGHkolA%3D%3D","","","",""
"","","R49","499k","PCB_Hbridge:499k","PCB_Hbridge:RESC2012X60N_499k","https://www.bourns.com/pdfs/chpreztr.pdf","","","Thick Film Resistors - SMD 56K 1%","0.6","","","","","Bourns","CR0805-FX-5602ELF","652-CR0805FX-5602ELF","","https://www.mouser.co.uk/ProductDetail/Bourns/CR0805-FX-5602ELF?qs=LA9FZBosJlDmfWlvGHkolA%3D%3D","","","",""
"","","R50","10k",":10k_2","PCB_Hbridge:RESC2012X60N_10k","https://www.bourns.com/pdfs/chpreztr.pdf/","","","Bourns CR0805-FX Series Chip Resistors","0.6","","","","","Bourns","CR0805-FX-1002ELF","652-CR0805FX-1002ELF","","https://www.mouser.co.uk/ProductDetail/Bourns/CR0805-FX-1002ELF?qs=tknLyCMIRbPr%252BDD0s0nG9g%3D%3D","","","",""
"","","U1","PEM2-S24-D12-S","PCB_Hbridge:PEM2-S24-D12-S","PCB_Hbridge:CONV_PEM2-S24-D12-S","","Bad","PEM2-S Series 2 W 12 Vin ±12 Vout Isolated DC-DC Converter","","","","","CUI","PEM2-S12-D12-S","","","","","","SIP-7 CUI","","7.03 USD",""



"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","AVAILABILITY","DESCRIPTION","Description","Height","MANUFACTURER","MAXIMUM_PACKAGE_HEIGHT","MF","MP","Manufacturer_Name","Manufacturer_Part_Number","Mouser Part Number","Mouser Path Number","Mouser Price/Stock","PACKAGE","PARTREV","PRICE","STANDARD"
"1","9","C1, C2, C3, C4, C8, C9, C12, C13, C14","1uF","PCB_Hbridge:1uF","PCB_Hbridge:CAPC2012X145N_01uF","https://www.yageo.com/upload/media/product/productsearch/datasheet/mlcc/UPY-AC_HiCap_X7R_0.pdf","","","Multilayer Ceramic Capacitors MLCC - SMD/SMT 50V 1uF X7R 0805 10% AEC-Q200","1.45","","","","","YAGEO","AC0805KFX7R9BB105","","","","","","",""
"2","2","C5, C6","2.2uF","PCB_Hbridge:2.2uF","PCB_Hbridge:CAPC3116X180N_2_2uF","https://psearch.en.murata.com/capacitor/product/GCM31CR71H225KA55%23.html","","","Capacitor GCM31 L=3.2mm W=1.6mm T=1.6mm","1.8","","","","","Murata Electronics","GCM31CR71H225KA55K","81-GCM31CR71H225KA5K","","https://www.mouser.co.uk/ProductDetail/Murata-Electronics/GCM31CR71H225KA55K?qs=Er06SXQpt%252B4Wl7IFhiz7sg%3D%3D","","","",""
"3","3","C7, C10, C11","0.01uF","Device:C","PCB_Hbridge:S103M69Z5UP63K7R","~","","","","","","","","","","","","","","","","",""
"4","4","C15, C17, C18, C20","47nF","PCB_Hbridge:47nF","PCB_Hbridge:CAPC3216X175N_47nF","https://content.kemet.com/datasheets/KEM_C1080_C0G_HV_AUTO_SMD.pdf","","","SMD Auto C0G HV, Ceramic, 560 pF, 10%, 1000 VDC, 1200 VDC, 125C, -55C, C0G, SMD, MLCC, Ultra-Stable, Low Loss, High Voltage, Automotive Grade, 0.1 % , 100 GOhms, 36 mg, 1206, 3.2mm, 1.6mm, 1.6mm, 0.5mm, 2000, 78  Weeks, 120","1.75","","","","","KEMET","C1206C561KDGACAUTO","80-C1206C561KDGAUTO","","https://www.mouser.co.uk/ProductDetail/KEMET/C1206C561KDGACAUTO?qs=MyNHzdoqoQL%252BgGDPneTOTA%3D%3D","","","",""
"5","2","C16, C19","4.7nF","PCB_Hbridge:4.7nF","PCB_Hbridge:CAPC2012X94N_4_7nF","","","","Capacitor 0805 4700PF +/-10% 10V","","","","","","AVX","0805ZC472KAT2A","581-0805ZC472KAT2A","","https://www.mouser.co.uk/ProductDetail/AVX/0805ZC472KAT2A?qs=TtQHvclPtw6GN1UAHPJ7fQ%3D%3D","","","",""
"6","2","D1, D2","SD0805S020S1R0","PCB_Hbridge:SD0805S020S1R0","PCB_Hbridge:DIOM1613X100N","https://componentsearchengine.com/Datasheets/1/SD0805S020S1R0.pdf","","","AVX - SD0805S020S1R0 - DIODE, SCHOTTKY, 1A, 20V, SOD-323","1","","","","","AVX","SD0805S020S1R0","581-SD0805S020S1R0","","https://www.mouser.co.uk/ProductDetail/AVX-Kyocera/SD0805S020S1R0?qs=jCA%252BPfw4LHbpkAoSnwrdjw%3D%3D","","","",""
"7","4","H1, H2, H3, H4","WA-T247-101E","PCB_Hbridge:WA-T247-101E","PCB_Hbridge:WAT247101E","https://www.ohmite.com/assets/docs/sink_w.pdf?r=false","","","Heatsink, TEH100 Ohmite Resistor Series, TEH70 Ohmite Resistor Series, TO-247, 11C/W, 43.4 x 23.4 x 32mm, Vertical","31","","","","","Ohmite","WA-T247-101E","588-WA-T247-101E","","https://www.mouser.co.uk/ProductDetail/Ohmite/WA-T247-101E?qs=TVIBDWOgMcWKH4aeLeQEMg%3D%3D","","","",""
"8","4","IC1, IC2, IC3, IC4","SCT3105KRC14","PCB_Hbridge:SCT3105KRC14","PCB_Hbridge:SCT3105KRC14","https://www.mouser.cn/datasheet/2/348/sct3105kr-e-1872017.pdf","","","MOSFET 1200V N-CH SIC TRENCH","23.75","","","","","ROHM Semiconductor","SCT3105KRC14","755-SCT3105KRC14","","https://www.mouser.co.uk/ProductDetail/ROHM-Semiconductor/SCT3105KRC14?qs=XeJtXLiO41TNpuiX4HR%252Bvw%3D%3D","","","",""
